x1,y1,x2,y2
319, 281, 281, 151
258, 469, 226, 284
335, 514, 270, 306
441, 304, 355, 153
289, 427, 249, 252
424, 438, 332, 245
466, 329, 368, 167
261, 465, 487, 274
319, 449, 269, 264
428, 407, 332, 223
445, 460, 334, 257
279, 469, 240, 352
414, 402, 328, 223
312, 419, 264, 275
331, 291, 290, 164
382, 316, 317, 170
287, 314, 251, 188
447, 432, 339, 238
285, 502, 247, 396
306, 306, 273, 177
377, 294, 310, 152
277, 315, 251, 191
437, 400, 335, 218
318, 289, 276, 161
372, 361, 308, 203
297, 340, 257, 205
292, 306, 262, 179
252, 294, 233, 179
357, 362, 300, 207
491, 452, 363, 245
270, 448, 235, 290
419, 438, 330, 251
264, 461, 234, 303
345, 340, 292, 193
276, 333, 250, 205
306, 320, 266, 186
392, 266, 310, 127
287, 349, 250, 214
321, 299, 276, 168
261, 290, 240, 174
379, 345, 307, 189
366, 377, 302, 217
408, 402, 323, 226
390, 382, 314, 215
330, 308, 282, 172
295, 373, 260, 229
301, 374, 268, 229
342, 345, 289, 198
304, 377, 262, 230
376, 382, 307, 218
263, 276, 248, 163
362, 378, 300, 218
407, 357, 324, 195
386, 407, 310, 234
384, 434, 308, 254
371, 358, 304, 202
334, 381, 283, 226
405, 337, 324, 180
337, 286, 282, 154
415, 488, 322, 287
430, 354, 338, 187
437, 334, 342, 171
433, 372, 338, 199
405, 357, 324, 194
311, 293, 270, 165
408, 337, 324, 178
371, 340, 305, 188
419, 327, 330, 169
465, 402, 349, 213
